PartID,PartDescription,PartBinAddress,PartBarCode,Product Class,Current Stock,On Order,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26
Em-3833,Prelude Front mount,4-B-1-2,9346140004364,04 Bronze,29,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,1,3,2,1,1,0,5,0
Em-3854,Civic 12V Rear mount,4-B-10-T,9346140004371,07 Not Classed,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Em-3855H,"Bora,Golf 2.3L 98-05 RH Hydro",4-B-8-5,9346140040904,04 Bronze,26,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,1,2,1,1,1,3,0,1,0,0,0,0
Em-3866,Honda Civic LH mount,4-B-9-4,9346140004388,04 Bronze,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Em-3868,"Civic, CRX 9-98 LH mnt Mtm",4-B-9-4,9346140004395,04 Bronze,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,-1,1,0
Em-3869,Civic SR3 Front LH mount,4-B-8-4,9346140004401,03 Silver,14,100,2,4,7,4,4,7,3,5,8,5,5,3,3,2,10,4,1,4,3,5,1,7,5,6,4,5,2,7,2,5,10,7,7,4,7,8
Em-3871,Maxima J32 2.5L 09-14 LH CVT,4-B-9-3,9346140042847,04 Bronze,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Em-3873,"S60,S90,V60,XC60,XC90 - RH Up",4-B-8-3,9346140040690,03 Silver,101,0,6,3,4,6,6,5,5,6,5,1,3,7,5,17,13,10,5,6,6,6,9,8,4,6,6,7,8,7,8,4,6,3,5,4,4,3
Em-3874,"Cit C5/6,Peu 407 01-10 RH SBar",4-B-7-3,9346140029787,04 Bronze,17,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Em-3875,"Civic S04, CRV RH mount",4-B-7-4,9346140004418,04 Bronze,0,30,1,1,0,1,0,1,1,1,0,1,0,2,2,1,0,0,0,1,1,0,1,3,1,0,1,1,0,0,1,3,6,4,3,0,1,2
Em-3876,Civic SO4 LH mount,4-B-5-5,9346140004425,04 Bronze,13,30,2,4,0,2,2,0,2,1,2,2,1,3,1,1,2,2,3,-1,3,0,1,1,1,1,1,1,0,1,0,2,2,0,2,2,0,3
Em-3877,Accord SM4 LH mount,4-B-6-4,9346140004432,04 Bronze,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Em-3881,Accord SV4 Front mount,4-B-9-1,9346140004449,04 Bronze,22,0,1,1,1,0,-1,-1,0,1,1,1,0,1,1,0,1,-1,1,1,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0
Em-3882,"S60,S90,XC60,XC90 2.0 LH Lower",4-B-5-3,9346140040706,04 Bronze,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
Em-3884,Pathfinder 3.5L 99-04 Front mt,4-B-5-2,9346140029503,05 No Sales FY25,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Em-3885,Altima L33 2.5L Rear SteadyBar,4-B-4-2,9346140041505,04 Bronze,37,0,3,1,2,0,2,2,1,0,1,0,0,1,4,2,0,1,0,1,4,1,-1,1,0,2,2,2,3,1,2,4,1,2,1,3,1,7
